#nif,emailAddress,name,addressID
214124512,centrocomercialplaza@lapr.pt,Centro Comercial Plaza,10
421515121,centrocomercialstop@lapr.pt,Centro Comercial Stop,11
214125612,centrocomercialcedofeita@lapr.pt,Centro Comercial Cedofeita,12
312314561,shoppingbrazilia@lapr.pt,Shopping Brasilia - AssociaÃ§Ã£o Comerciantes,13
151421123,centrocomercialcarvalhido@lapr.pt,Centro Comercial do Carvalhido,14
543131512,centrocomercialnewcity@lapr.pt,Centro Comercial New City,15
590831512,centrocomercialparque@lapr.pt,Centro Comercial Parque,16
768314561,traditionalShoppingStreet@lapr.pt,Traditional Shopping Street,17
468814561,marshoppingmatosinhos@lapr.pt,Mar Shopping Matosinhos,18
768098561,norteshopping@lapr.pt,NorteShopping,19
214879512,alamedashop&spot@lapr.pt,Alameda Shop & Spot,20
545467667,shop@lapr.pt,Shop,21
343435454,espiracolossal@lapr.pt,Espiral Colossal,22
656577676,pracetasalvadorcaetano@lapr.pt,Praceta Salvador Caetano,23
343454678,arrabidashopping@lapr.pt,ArrábidaShopping,24
675768821,postofficevalongo@gmail.com,Post Office Valongo,25
132324456,centrodistribuicaocorreiosermesinde@lapr.pt,Centro de Distribuição dos Correios de Ermesinde,26
187980544,postocorreioforno@lapr.pt,Posto Correios Forno,27
645324290,postocorreiocondeferreira@lapr.pt,Posto de Correios de Conde Ferreira,28
473558389,ctt@lapr.pt,CTT,29
126463587,correioscttcampoalegre@lapr.pt,Correios CTT Campo Alegre,30
534446754,pereiropostoffice@lapr.pt,Pereiró Post Office,31
546576893,tecofixporto@lapr.pt,Tecofix Porto,32
875343548,fishicopesca.lda@lapr.pt,FISHISCO Pesca.Lda,33
